# KF-CHD disease-relevant seed CUIs (Jin 2017 H-CHD panel)
# Source: Jin et al. 2017 Nat Genet, 212 H-CHD genes (Supp Data Set 2)
# Intersection with kf_chd_seed_cuis.txt
# 55 CUIs (from 212 reference genes)
# Format: CUI\tGENE_SYMBOL
C1427487	ANKRD11
C1824213	ARL13B
C1412625	ATIC
C1826413	BBS10
C1826414	BBS12
C1412749	BBS4
C1842747	BBS9
C1413057	CACNA1C
C1824563	CCDC39
C1424619	CD96
C1824725	CEP290
C1421198	CEP41
C1413581	COL3A1
C1337090	CREBBP
C1413953	DDX11
C1414040	DHCR7
C1825897	DNAAF1
C1824492	DNAAF3
C1414094	DNAH11
C1414101	DNAH5
C1425753	DNAI2
C1426077	DOCK6
C1825010	DYNC2H1
C1414382	ELN
C1539367	ESCO2
C1414479	EVC
C1426383	EVC2
C1414542	FBN1
C1424608	FIG4
C1414558	FKTN
C1414995	GATA4
C1415031	GDF1
C0812382	GLI3
C1415195	GPC3
C1416930	LTBP4
C1334474	MAP2K1
C1417174	MKKS
C1417541	MYH6
C1417671	NEK1
C1417752	NODAL
C1417767	NOTCH2
C1417783	NPHP3
C1426011	NPHP4
C1417834	NR2F2
C1418469	PEX1
C1418531	PHGDH
C1425267	PKD1L1
C1335280	PTPN11
C1422524	RAB23
C2242767	RPGRIP1L
C1419725	RPS24
C1424562	UBR1
C1428820	WDR35
C1424490	ZFPM2
C1421583	ZIC3
