# KF-NBL disease-relevant seed CUIs (Kim 2023 panel (eTable 2))
# Source: Kim et al. 2023 medRxiv, 166 CPG panel (eTable 2)
# Intersection with kf_nbl_seed_cuis.txt
# 55 CUIs (from 166 reference genes)
# Format: CUI\tGENE_SYMBOL
C1412070	ABCB11
C1332080	ALK
C0162832	APC
C1367578	AR
C0919524	ATM
C1332120	ATR
C1332381	BARD1
C1337098	BLM
C0812241	BRAF
C0598034	BRCA2
C1426958	BRIP1
C0525037	CDKN2A
C1424448	CHEK2
C1413592	COL7A1
C2239353	DIS3L2
C1426079	DOCK8
C1333356	ERCC2
C1333357	ERCC3
C1333358	ERCC4
C1333359	ERCC5
C1414525	FAH
C1414527	FANCA
C1414530	FANCD2
C1414531	FANCE
C1333532	FANCG
C1708000	FANCM
C1366530	FH
C0079471	HRAS
C0879389	MLH1
C0812295	MPL
C0879290	MSH2
C0879392	MSH3
C0879393	MSH6
C1417505	MUTYH
C0809246	NRAS
C1422496	NSD1
C1418697	PHOX2B
C0879391	PMS2
C1418727	POLD1
C1418729	POLE
C1418907	PRKAR1A
C0694888	PTEN
C1335280	PTPN11
C1419239	RAD50
C1335580	RAD51C
C1419242	RAD51D
C1335607	RECQL4
C1419906	SDHA
C1419907	SDHB
C1418544	SERPINA1
C1420154	SLC25A13
C1335843	SMARCA4
C1420314	SOS1
C1823386	TMEM127
C0079419	TP53
