rank	pathway_name	pathway_id	source	n_members	degree_norm	null_calibrated	null_z	empirical_q	member_mean_null_z	member_mean_q	in_reference	seed_members	seed_member_scores	influential_nodes_local	influential_nodes_global	neighbor_z_local	neighbor_z_global
1	Protein phosphorylation	C1158886	GO	21	2.245421e-05	False	NaN	NaN	1.382	0.8649	False	ROS1	1.0000	ROS1	ROS1	local:n=21;max=4.47;p75=-0.22;p50=-0.22;p25=-0.22	global:n=21;max=23.67;p75=-0.04;p50=-0.04;p25=-0.04
2	REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES	MSIGDB:M26926	MSIGDB	8	2.114986e-05	False	NaN	NaN	2.462	0.8649	False	NCF2;CYBA	0.0000;0.0000	CD36	CD36	local:n=8;max=2.65;p75=-0.38;p50=-0.38;p25=-0.38	global:n=8;max=23.66;p75=-0.04;p50=-0.04;p25=-0.04
3	WP_NAD_METABOLISM_SIRTUINS_AND_AGING	MSIGDB:M39439	MSIGDB	11	2.059407e-05	False	NaN	NaN	1.926	0.8649	False	ROS1	1.0000	ROS1	ROS1	local:n=11;max=3.16;p75=-0.32;p50=-0.32;p25=-0.32	global:n=11;max=23.67;p75=-0.04;p50=-0.04;p25=-0.04
4	REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION	MSIGDB:M27317	MSIGDB	11	1.803824e-05	False	NaN	NaN	NaN	NaN	False	PLCB3	0.0000	CD36	CD36	local:n=11;max=3.16;p75=-0.32;p50=-0.32;p25=-0.32	global:n=11;max=23.66;p75=-0.04;p50=-0.04;p25=-0.04
5	WP_ARYL_HYDROCARBON_RECEPTOR_NETPATH	MSIGDB:M39661	MSIGDB	45	1.501648e-05	False	NaN	NaN	1.663	0.8649	False	EGFR;CYP1B1;RB1;MAP2K1;LPL	0.0001;0.0001;0.0000;0.0000;0.0000	CD36;E2F1	CD36;E2F1	local:n=45;max=4.64;p75=-0.22;p50=-0.22;p25=-0.22	global:n=45;max=23.66;p75=-0.04;p50=-0.04;p25=-0.04
6	WP_FGF23_SIGNALLING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS	MSIGDB:M39862	MSIGDB	22	1.461686e-05	False	NaN	NaN	1.000	0.8649	False	ROS1;FGFR2;CYP27B1;CYP24A1;DMP1;ALPL;GALNT3;SLC34A1;SLC34A3	1.0000;0.0001;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000	ROS1	ROS1	local:n=22;max=4.58;p75=-0.22;p50=-0.22;p25=-0.22	global:n=22;max=23.67;p75=-0.04;p50=-0.04;p25=-0.04
7	REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA	MSIGDB:M26946	MSIGDB	9	1.360898e-05	False	NaN	NaN	2.748	0.8649	False	TP63	0.0000	E2F1	E2F1	local:n=9;max=2.83;p75=-0.35;p50=-0.35;p25=-0.35	global:n=9;max=23.66;p75=-0.04;p50=-0.04;p25=-0.04
8	BIOCARTA_FBW7_PATHWAY	MSIGDB:M22053	MSIGDB	9	1.360796e-05	False	NaN	NaN	2.205	0.8649	False	RB1	0.0000	E2F1	E2F1	local:n=9;max=2.83;p75=-0.35;p50=-0.35;p25=-0.35	global:n=9;max=23.66;p75=-0.04;p50=-0.04;p25=-0.04
9	Ionophore activity	C1517596	GO	189	1.356622e-05	True	85.539	0.0078	3.153	0.8649	False	PKD1L1;CUBN;CACNA1S;SLCO1B1;ATP7B;RYR1;CHRNE;CLCN1;CACNA1C;ASIC2;CACNA1E;CACNA1G;CHRNA3;SLC1A4;TRPM6;SLC4A1;SLC37A4;SLC5A2;ANO3;ATP6V0A1;TCIRG1;HJV;CTNS;ANO6;GJB4;TRPC6;ABCC2;CNGA3;SCN5A;KCNV2;SLC24A4;ABCB11;SCN9A;SLC9A9;PIEZO1;PIEZO2;OCA2;SLC7A7;SLC7A8;SLC7A9;SLC39A4;SLC24A5;SLC6A19;ABCC8;CFTR;KCNK18	1.0000;0.9992;0.9991;0.9991;0.9991;0.0002;0.0002;0.0002;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0001;0.0000	PKD1L1;CUBN;CACNA1S;SLCO1B1;ATP7B	PKD1L1;CUBN;CACNA1S;SLCO1B1;ATP7B	local:n=200;max=6.44;p75=-0.16;p50=-0.16;p25=-0.16	global:n=200;max=23.68;p75=-0.04;p50=-0.04;p25=-0.04
10	REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND	MSIGDB:M27571	MSIGDB	20	1.338142e-05	False	NaN	NaN	2.479	0.8649	False	APOB	0.0000	CD36	CD36	local:n=20;max=4.36;p75=-0.23;p50=-0.23;p25=-0.23	global:n=20;max=23.66;p75=-0.04;p50=-0.04;p25=-0.04
