concept_id,name,sab,direct,member_mean,member_max,degree_norm,local_bg,direct_raw,raw_vs_cond_delta,member_gene_count,degree,degree_flag,in_chd_set,contributing_seeds,empirical_p,empirical_q,null_mean,null_sd,null_z,member_mean_p,member_mean_q,member_mean_null_mean,member_mean_null_sd,member_mean_null_z
MSIGDB:M39880,WP_CILIOPATHIES,MSIGDB,8.162059543144957e-05,0.0001820137114700267,0.0005068774408457116,6.260013906479745e-06,-0.00011184024607829519,4.1677162768923754e-05,3.9943432662525816e-05,170,170,False,True,C1335872|C1414313|C1367472|C0919524|C1335280,0.998001998001998,1.0,1.0780984074553282e-05,2.3838129309161606e-06,-1.8965289219804728,0.000999000999000999,0.5648101898101898,0.00015580065030541343,7.587800317099393e-06,3.454632445392792
C1517596,Ionophore activity,GO,7.31985139174367e-05,0.00012485207029323085,0.0005079477048495054,5.324408425157654e-06,-4.658807546637281e-05,3.7696865315796284e-05,3.550164860164041e-05,189,189,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.1123472316682252e-05,2.2128713052858063e-06,-2.620606032385427,0.000999000999000999,0.5648101898101898,9.782499046439449e-05,7.915150826867532e-06,3.414600734719351
MSIGDB:M27554,REACTOME_DISEASES_OF_METABOLISM,MSIGDB,8.225712005196172e-05,0.00014782848815676227,0.0005124205269070745,5.2767967116403845e-06,-8.262959085286243e-05,3.942241593692149e-05,4.283470411504023e-05,243,243,True,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.1509154813069041e-05,2.19860170810263e-06,-2.834691739963722,0.003996003996003996,1.0,0.0001264406859003527,7.836889980721283e-06,2.729118605597817
C1519624,Transmembrane Transport,GO,7.268629487082047e-05,0.00012633857010322177,0.0005079477048495054,5.152594829561844e-06,-4.732443290553318e-05,4.019787392643174e-05,3.248842094438873e-05,199,199,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.1790642349221577e-05,2.3333266927135334e-06,-2.84488560491289,0.003996003996003996,1.0,0.0001022790925191418,8.265006382680784e-06,2.9110053241454596
MSIGDB:M13283,HSIAO_LIVER_SPECIFIC_GENES,MSIGDB,6.942308294724127e-05,0.00010189501801785484,0.0005111224246166279,4.435278076503941e-06,6.942308294724127e-05,4.6940005096113745e-05,2.2483077851127524e-05,245,245,True,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.000999000999000999,0.0012447607488929803,0.0,0.0,0.0,0.7502497502497503,1.0,0.00010828594567777952,8.244503609163163e-06,-0.7751743419484501
MSIGDB:M27476,REACTOME_DISORDERS_OF_TRANSMEMBRANE_TRANSPORTERS,MSIGDB,5.731076923695657e-05,0.00012436923674527238,0.000508601744091251,4.382664061060935e-06,-0.00010774010530462687,2.1733508228207413e-05,3.5577261008749155e-05,171,171,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,9.833137163618305e-06,2.1284956486620832e-06,-2.5607161123319164,1.0,1.0,0.00018213434721880888,1.3455478475371722e-05,-4.29305509865495
MSIGDB:M27474,REACTOME_SLC_TRANSPORTER_DISORDERS,MSIGDB,4.295003993392261e-05,0.0001537347381610117,0.0005084649172470712,4.360915833924412e-06,-0.00013524548352943002,1.5277294188162823e-05,2.7672745745759787e-05,97,97,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.999000999000999,1.0,8.653417818553986e-06,2.4048763320399157e-06,-1.7849158925309458,0.7962037962037962,1.0,0.00016750642362684288,1.6221991992307477e-05,-0.8489515635540796
MSIGDB:M204,PID_RHODOPSIN_PATHWAY,MSIGDB,2.0506201428154473e-05,0.00026532648925350324,0.0005089270700654006,4.27583857532798e-06,-0.00024023022921039038,4.770094872816615e-06,1.573610655533786e-05,23,23,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.41858141858141856,0.5201219110559769,4.405280164020421e-06,2.371122967549369e-06,-0.05459083753307936,0.18181818181818182,1.0,0.00025171442513980134,2.6205168941953313e-05,0.5194419522291112
MSIGDB:M5884,NABA_CORE_MATRISOME,MSIGDB,6.398413590233015e-05,9.366771205930614e-05,0.0005153235126613767,3.9231190824671e-06,-4.023937599146551e-05,4.6366679694342025e-05,1.7617456207988125e-05,266,266,True,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.164610192215102e-05,2.2640207095174434e-06,-3.411180298492061,0.5624375624375625,1.0,9.540879763770142e-05,7.754266528900793e-06,-0.2245325940120974
MSIGDB:M39826,WP_GENES_RELATED_TO_PRIMARY_CILIUM_DEVELOPMENT_BASED_ON_CRISPR,MSIGDB,3.7445868679411936e-05,0.00016742763724461476,0.0005060809005510572,3.862246454056218e-06,-0.0001404286914931247,2.327193213630562e-05,1.4173936543106316e-05,94,94,False,True,C1335872|C1414313|C1367472|C0919524|C1335280,0.986013986013986,1.0,7.044944123088566e-06,2.3669424297078576e-06,-1.3446451544768565,0.011988011988011988,1.0,0.00014466327245453865,9.461015804551354e-06,2.406122689185764
MSIGDB:M27461,REACTOME_METABOLIC_DISORDERS_OF_BIOLOGICAL_OXIDATION_ENZYMES,MSIGDB,2.1256343009325046e-05,0.0002254027396829079,0.0005106719945075605,3.6454327514031036e-06,2.1256343009325046e-05,7.319074569374949e-06,1.3937268439950097e-05,34,34,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.000999000999000999,0.0012447607488929803,0.0,0.0,0.0,0.004995004995004995,1.0,0.00018329086972303666,2.1011181228605096e-05,2.004259993842668
MSIGDB:M610,REACTOME_EXTRACELLULAR_MATRIX_ORGANIZATION,MSIGDB,6.255921116223663e-05,9.696495739042099e-05,0.0005153235126613767,3.630053612519893e-06,-3.444561708497047e-05,3.8680973271143883e-05,2.3878237891092747e-05,297,297,True,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.3185188331216556e-05,2.3475296108988883e-06,-4.070293586217183,0.998001998001998,1.0,0.00012062771880676725,8.688685767941538e-06,-2.7233993780341628
MSIGDB:M13449,CAIRO_HEPATOBLASTOMA_DN,MSIGDB,5.730731749880649e-05,7.636604505040687e-05,0.0005091003242242837,3.6028801823452326e-06,-1.7330048947926087e-05,4.149803254538792e-05,1.5809284953418565e-05,253,253,True,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.4840544816313774e-05,2.5370461161497474e-06,-4.429428602986122,0.8201798201798202,1.0,8.363219346113606e-05,6.793354421762316e-06,-1.069596543859436
MSIGDB:M27649,REACTOME_FORMATION_OF_THE_CORNIFIED_ENVELOPE,MSIGDB,4.0125591866679385e-05,7.222037040818344e-05,0.0005081439696024239,3.546634763506596e-06,4.0125591866679385e-05,5.915279437240901e-05,-1.9027202505729625e-05,128,128,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,0.000999000999000999,0.0012447607488929803,0.0,0.0,0.0,0.000999000999000999,0.5648101898101898,5.570784173692274e-05,5.930000086937605e-06,2.784574777264155
MSIGDB:M1286,HOSHIDA_LIVER_CANCER_SUBCLASS_S3,MSIGDB,5.649128764286609e-05,9.299917953228323e-05,0.0005160026542028926,3.5169939482974094e-06,-3.743155143815147e-05,4.351135036095184e-05,1.2979937281914244e-05,258,258,True,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,1.3145916441003038e-05,2.2791019814420997e-06,-4.224875662041651,0.971028971028971,1.0,0.00010926018608655156,8.099147239281282e-06,-2.0077430467496145
C0012899,DNA Repair,GO,4.324636975824432e-05,0.00014329882704773844,0.0005142747444086998,3.440496447532827e-06,-8.570412683701708e-05,2.989753743132137e-05,1.3348832326922948e-05,158,158,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,8.110596620436373e-06,1.8327944297213337e-06,-2.5480763675245393,0.0989010989010989,1.0,0.00012958735194277312,1.1952990970592889e-05,1.1471166621558322
MSIGDB:M27158,REACTOME_VISUAL_PHOTOTRANSDUCTION,MSIGDB,3.357895470402398e-05,0.00011593981007413696,0.0005118858717275527,3.391986653767325e-06,-8.825742110565315e-05,1.7448515983917285e-05,1.6130438720106698e-05,98,98,False,False,C1335872|C1414313|C1367472|C0919524|C1335280,1.0,1.0,8.491335921925813e-06,2.2440457919558176e-06,-2.2723909139635277,0.37362637362637363,1.0,0.00011409628696980362,1.2190713734511716e-05,0.15122355790492886
