concept_id,name,sab,direct,member_mean,member_max,degree_norm,local_bg,direct_raw,raw_vs_cond_delta,member_gene_count,degree,degree_flag,in_chd_set,contributing_seeds,empirical_p,empirical_q,null_mean,null_sd,null_z,null_calibrated,signal_to_null_mean,member_mean_p,member_mean_q,member_mean_null_mean,member_mean_null_sd,member_mean_null_z
C1158886,Protein phosphorylation,GO,0.00010289813464598734,0.0005781893665875906,0.012083713325033212,2.2454213851666432e-05,-0.0009982695936891315,1.2032329231331114e-05,9.086580541465622e-05,21,21,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,3.1257943589985617e-07,1.6193984482821687e-07,,False,71.83522417917565,0.029970029970029972,0.8140996383807885,0.00014995042554105407,0.00029467716626169584,1.4532477914024313
MSIGDB:M26926,REACTOME_CROSS_PRESENTATION_OF_PARTICULATE_EXOGENOUS_ANTIGENS_PHAGOSOMES,MSIGDB,5.982083479677454e-05,0.0015104246139019616,0.012080284288741704,2.114985897051973e-05,-0.001148571341143882,5.361903531158836e-05,6.201799485186181e-06,8,8,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.2135123354731667e-07,1.863864635447886e-07,,False,95.54886427140093,,,0.00014691407953193805,0.0004619482588778825,
MSIGDB:M39439,WP_NAD_METABOLISM_SIRTUINS_AND_AGING,MSIGDB,6.830281324187392e-05,0.0010996899871834104,0.012083713325033212,2.0594073059001282e-05,-0.0019467224520956863,1.1210648332553613e-05,5.7092164909320305e-05,11,11,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.2453085976781642e-07,1.604590262776048e-07,,False,91.72045695766393,0.012987012987012988,0.8140996383807885,0.00018709652014627082,0.0004353004949742618,2.096467790809884
MSIGDB:M27317,REACTOME_FREE_FATTY_ACIDS_REGULATE_INSULIN_SECRETION,MSIGDB,5.982608264947868e-05,0.0010983964326978916,0.012080284288741704,1.803824262046473e-05,-0.0009470853805339265,5.4036043996829084e-05,5.7900386526495934e-06,11,11,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.3928094350190073e-07,1.724299643783094e-07,,False,75.38520350376938,,,5.195258215205873e-05,0.0002375578572538663,
MSIGDB:M39661,WP_ARYL_HYDROCARBON_RECEPTOR_NETPATH,MSIGDB,0.0001007336383301515,0.000537528895727716,0.012080284288741704,1.501648419513981e-05,-0.0003831090537008558,9.267135063073215e-05,8.062287699419347e-06,45,45,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,4.6816617066945325e-07,1.6944410401047848e-07,,False,32.07511592233804,0.027972027972027972,0.8140996383807885,0.0001394588808126031,0.00019574859071115413,2.0335779351918983
MSIGDB:M39862,WP_FGF23_SIGNALLING_IN_HYPOPHOSPHATEMIC_RICKETS_AND_RELATED_DISORDERS,MSIGDB,6.855913333308228e-05,0.0005516697432232632,0.012083713325033212,1.461685633933295e-05,-0.0007128075066507319,1.1675332441834934e-05,5.688380089124734e-05,22,22,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,4.18543725697425e-07,1.8239818134165686e-07,,False,34.92312855718166,0.04795204795204795,0.8140996383807885,0.00020461779892895545,0.00032190197013749023,1.0781292955307962
MSIGDB:M26946,REACTOME_ACTIVATION_OF_PUMA_AND_TRANSLOCATION_TO_MITOCHONDRIA,MSIGDB,4.0826933978761963e-05,0.0013425014037880664,0.012079807219832551,1.3608977992920654e-05,-0.0011674319910965408,3.738232504710895e-05,3.4446089316530153e-06,9,9,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.0460290437850802e-07,1.663309872635157e-07,,False,66.51409975952508,,,0.00010242071081641236,0.0003705863121533972,
MSIGDB:M22053,BIOCARTA_FBW7_PATHWAY,MSIGDB,4.082386549173972e-05,0.0013426653339083867,0.012079807219832551,1.360795516391324e-05,-0.0011676224040760993,3.732934718497658e-05,3.4945183067631406e-06,9,9,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,1.9800496872712248e-07,1.6643130722689968e-07,,False,68.7253216492099,0.060939060939060936,0.8140996383807885,0.00018700716589015333,0.0004870915771156752,2.372568572960123
C1517596,Ionophore activity,GO,0.00018650465718796658,0.00032064388621644947,0.012091510850216038,1.3566217603581692e-05,-0.0002846437702991972,5.850559317919011e-05,0.00012799906400877647,189,189,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,1.349336414784792e-06,1.9842494301625018e-07,,False,10.053992062272618,0.003996003996003996,0.8140996383807885,0.00010599243654999717,7.600950297389472e-05,2.8240080683092192
MSIGDB:M27571,REACTOME_REGULATION_OF_TLR_BY_ENDOGENOUS_LIGAND,MSIGDB,5.9843537818629905e-05,0.0006042776785348767,0.012080284288741704,1.3381421857653595e-05,-0.000515677259066443,5.5555709525724855e-05,4.28782829290505e-06,20,20,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.872890502287289e-07,1.6235360717155684e-07,,False,46.57825227588661,0.057942057942057944,0.8140996383807885,6.918510844132068e-05,0.00019758059091514206,2.7082243636135814
MSIGDB:M6031,BIOCARTA_SKP2E2F_PATHWAY,MSIGDB,4.083807739842354e-05,0.0012086988097091988,0.012079807219832551,1.2914133984126195e-05,-0.0010580221760192942,3.7397072310859545e-05,3.4410050875639928e-06,10,10,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.1448615797385164e-07,1.6111095999584092e-07,,False,60.209638263465834,0.04095904095904096,0.8140996383807885,0.0001937493167052363,0.0004808056599814676,2.110934994074494
MSIGDB:M39534,WP_MAMMARY_GLAND_DEVELOPMENT_PATHWAY_INVOLUTION_STAGE_4_OF_4,MSIGDB,4.082110730511824e-05,0.0012083812515111252,0.012079807219832551,1.2908767569431164e-05,-0.0009662097472443525,3.723089176312015e-05,3.590215541998093e-06,10,10,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.2873474827715149e-07,1.685983885194919e-07,,False,56.43553358928208,0.09290709290709291,0.8140996383807885,0.00020946642424643248,0.0004908268434725266,2.0351674741290013
C0007608,cell motility,GO,7.293370047635781e-05,0.0007124929739467593,0.012082663502422989,1.2508026440902888e-05,-0.0010794599282383669,1.5346073238022782e-05,5.758762723833503e-05,34,34,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,5.201724943709931e-07,1.9137715994528438e-07,,False,24.045920490332612,0.006993006993006993,0.8140996383807885,0.00014206617039767098,0.0002184003355672698,2.6118403255538514
MSIGDB:M780,REACTOME_CDC6_ASSOCIATION_WITH_THE_ORC_ORIGIN_COMPLEX,MSIGDB,4.081519930620524e-05,0.0010982332244159848,0.012079807219832551,1.2306245622023348e-05,-0.0008884661662469483,3.750953549268206e-05,3.305663813523182e-06,11,11,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.421591104155489e-07,1.730261795478164e-07,,False,50.81884221041956,0.10789210789210789,0.8140996383807885,0.00012446605790648736,0.00036468306086662633,2.6701738331236293
MSIGDB:M716,REACTOME_REGULATION_OF_PYRUVATE_DEHYDROGENASE_PDH_COMPLEX,MSIGDB,4.6493094342997014e-05,0.0008055960459859521,0.012079527616063769,1.2004465340271847e-05,-0.0013748873942365943,1.5881970687628843e-06,4.490489727423413e-05,15,15,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.6743843528014975e-07,1.6779347459665046e-07,,False,44.886836582396285,,,7.679380409800562e-05,0.0002495311985843409,
MSIGDB:M1015,REACTOME_INHIBITION_OF_REPLICATION_INITIATION_OF_DAMAGED_DNA_BY_RB1_E2F1,MSIGDB,4.0818254891982766e-05,0.0010068321961097105,0.012079807219832551,1.1783215224868505e-05,-0.0008886018254018197,3.7601497211272244e-05,3.216757680710522e-06,12,12,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.3317803691559963e-07,1.633409379330559e-07,,False,50.53312645021332,0.1258741258741259,0.8140996383807885,0.00014741364062576898,0.00039078664293467843,2.1992014594715736
MSIGDB:M39891,WP_GENES_CONTROLLING_NEPHROGENESIS,MSIGDB,7.375217217884851e-05,0.0005758232192590536,0.012082209064167905,1.1380207234177321e-05,-0.000637554804582315,6.115919462311164e-05,1.259297755573687e-05,42,42,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,5.020417548066237e-07,1.8216630603425623e-07,,False,22.667850084622433,0.00999000999000999,0.8140996383807885,0.00010702575226062327,0.0001700228772182012,2.7572611090258907
MSIGDB:M17977,BIOCARTA_P27_PATHWAY,MSIGDB,4.082803894888272e-05,0.0009296110597040284,0.012079807219832551,1.1323660608218273e-05,-0.0008224161372407798,3.754081093498465e-05,3.2872280138980704e-06,13,13,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.494589185025468e-07,1.761017191412678e-07,,False,45.39288743890977,0.11888111888111888,0.8140996383807885,0.00020302420238839947,0.000434368143655285,1.67274434814964
MSIGDB:M930,REACTOME_TRANSPORT_OF_ORGANIC_ANIONS,MSIGDB,3.892098354837958e-05,0.0010076269559300926,0.012080821982625774,1.1235520164390974e-05,-0.0016881974877716549,3.7413810822646453e-06,3.5179602466114936e-05,12,12,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.496412165348356e-07,1.7114914892487856e-07,,False,45.006671255438064,,,6.763799695052469e-05,0.0002556946282846975,
MSIGDB:M27474,REACTOME_SLC_TRANSPORTER_DISORDERS,MSIGDB,0.00011023531077816968,0.0004984828517932318,0.012081003053137505,1.119270000609273e-05,-0.0006570941986147959,2.2246020201003525e-05,8.798929057716616e-05,97,97,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,8.053734296167343e-07,1.8069795958120521e-07,,False,13.89752827010841,0.012987012987012988,0.8140996383807885,0.00015048191619206305,0.0001291671964082337,2.694189742272564
MSIGDB:M27344,REACTOME_MULTIFUNCTIONAL_ANION_EXCHANGERS,MSIGDB,3.322743824238214e-05,0.0013423792935733723,0.012079527616063769,1.1075812747460714e-05,-0.0021632217670507193,4.601072726766635e-06,2.8626365515615506e-05,9,9,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.2767855810830488e-07,1.738371010198515e-07,,False,48.64670981530038,,,8.068220696047656e-05,0.0003299315887908595,
MSIGDB:M39472,WP_H19_ACTION_RBE2F1_SIGNALING_AND_CDKBETACATENIN_ACTIVITY,MSIGDB,4.084476579808051e-05,0.0008638263673281624,0.012079807219832551,1.0916222832817113e-05,-0.0007154805207021899,3.768812901205233e-05,3.156636786028179e-06,14,14,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.601365055238297e-07,1.6298716365523661e-07,,False,41.96344073599134,0.023976023976023976,0.8140996383807885,0.00015829294467607536,0.00035107393534399765,2.0096434158826812
MSIGDB:M39611,WP_IRINOTECAN_PATHWAY,MSIGDB,3.891128355279205e-05,0.0009299062465953171,0.012080821982625774,1.0792048311054641e-05,-0.0013829071475074792,4.483143608646428e-06,3.4428139944145624e-05,13,13,False,False,C1824725|C1425267|C1425978|C2240338|C0812281,,,2.976528856376237e-07,1.7980753549294705e-07,,False,36.25716004041492,0.015984015984015984,0.8140996383807885,0.00011551702635413385,0.00031736262210186884,2.5661157411907696
