boot_id,seed_size,seeds,bifo_p10,bifo_enrich10,bifo_ndcg10,bifo_ap,bifo_mean_rank,rank_improvement,sf_p10,sf_ap,bifo_beats_sf_ap
864,20,"C1426132,C1823843,C1858559,C1427860,C1422045,C1425429,C1413053,C1538922,C1413569,C1412111,C1420140,C1414435,C1416610,C1332724,C1843785,C1422210,C1413953,C1413803,C1414084,C1826614",0.0,0.0,0.0,0.006561932025181326,2454.6,-766.9499999999998,0.1,0.011536145535068536,0
865,20,"C2240258,C1366475,C1419622,C1417652,C1414145,C1332409,C1414262,C1417609,C1335265,C1333690,C1419857,C1538097,C1415803,C2239419,C1413808,C1420044,C1416947,C1823374,C1539048,C1426706",0.0,0.0,0.0,0.0038952868089668566,2721.3,-1133.6000000000001,0.0,0.004550286682643745,0
866,20,"C1415845,C1425674,C1418643,C1539312,C2239867,C1418270,C1442484,C1413569,C1427250,C1415119,C1842690,C1422773,C1414382,C1424025,C0162832,C1414040,C1414995,C1539429,C1424667,C1415014",0.0,0.0,0.0,0.00429750347221695,2526.25,-910.95,0.0,0.004800342641147206,0
867,20,"C1417064,C1417015,C1427027,C1413564,C1539578,C1420827,C1417893,C1418887,C2239920,C1366370,C1537696,C1412367,C1415001,C1425339,C1333713,C1842747,C1423923,C1540114,C1413153,C1413763",0.0,0.0,0.0,0.011594439722471307,1688.9,-305.6500000000001,0.0,0.011799033705098065,0
868,20,"C1420450,C1413057,C1414313,C1418502,C1426736,C1415001,C1422332,C1412387,C1416717,C1825772,C1412114,C1439345,C1426528,C1423069,C1424839,C1412691,C1332774,C1414530,C1426706,C2828415",0.0,0.0,0.0,0.003371916812255728,2988.75,-939.4499999999998,0.0,0.0041226466451322104,0
869,20,"C1424701,C1420620,C1427837,C1539586,C1426562,C1419011,C1424612,C1539125,C1422473,C1428421,C1413504,C1420140,C1824808,C1413113,C1419622,C1415195,C1333523,C1539531,C1538113,C1416886",0.0,0.0,0.0,0.010764163452510358,1818.65,-440.9000000000001,0.1,0.024695452157486343,0
870,20,"C1420313,C1418752,C1826711,C0537026,C1418492,C1428361,C1423606,C1424490,C1538095,C1417928,C3147174,C1418438,C1540067,C1417174,C1427250,C1413545,C1419805,C1416610,C1413076,C1826500",0.0,0.0,0.0,0.017744914850095234,1479.1,30.0,0.1,0.02198857387328059,0
871,20,"C1414950,C1335232,C1418307,C1826413,C1825380,C1420588,C1413057,C2680470,C1332829,C1420450,C1416775,C1414946,C1413545,C1825593,C1417776,C1412340,C1415017,C1413381,C1412384,C1424765",0.0,0.0,0.0,0.017072150899591135,1622.3,-80.95000000000005,0.0,0.00977600898680687,1
256,10,"C1825047,C1824957,C1825603,C1424447,C1413403,C1418438,C1332803,C1826473,C1425212,C1415009",0.0,0.0,0.0,0.004632196713102904,2446.75,-631.45,0.0,0.004172227825321581,1
257,10,"C1424667,C1538396,C1333542,C1421525,C1414429,C1333358,C1417537,C1414530,C1420827,C0812290",0.0,0.0,0.0,0.0037722229038222228,2674.8,-879.0000000000002,0.0,0.004151887139470284,0
258,10,"C1421375,C1417436,C1425332,C0694889,C1419117,C1428630,C1412179,C1424619,C1414328,C1424510",0.0,0.0,0.0,0.004400059266119379,2486.8,-768.5500000000002,0.0,0.004262759971070461,1
259,10,"C1836722,C1413053,C1428910,C1420614,C1417783,C1424619,C1413700,C1824104,C1416783,C1427482",0.0,0.0,0.0,0.011101217857643484,1939.95,-245.75,0.1,0.023963414647492715,0
260,10,"C0242988,C1428109,C1366529,C1412110,C1413864,C1416484,C1413573,C1420044,C1412304,C1826260",0.0,0.0,0.0,0.0032132198245046735,3091.95,-1287.8999999999999,0.0,0.004053941022969995,0
261,10,"C1538299,C1336674,C1824336,C1424601,C1418195,C1425753,C1427622,C2681631,C1422581,C1413019",0.0,0.0,0.0,0.019749447277158567,1426.2,-127.60000000000014,0.1,0.027243627862995178,0
262,10,"C1412110,C1415311,C1413763,C1538294,C1538894,C1418605,C1416576,C1427016,C1424610,C1414209",0.0,0.0,0.0,0.006547376524687358,2250.6,-266.29999999999995,0.0,0.004374437734218821,1
263,10,"C1415031,C1427030,C1539956,C1539711,C1412946,C1421198,C1427482,C1422524,C1419872,C1333568",0.0,0.0,0.0,0.023357879434843784,1206.8,-143.45000000000005,0.2,0.09708616361231598,0
472,10,"C1333542,C1417537,C1417505,C1415291,C1416448,C1427192,C1332001,C1427994,C1422772,C1412062",0.0,0.0,0.0,0.004491234912694178,2404.55,-839.3000000000002,0.0,0.004210166302893512,1
473,10,"C2239556,C1826473,C1413696,C1417250,C1420674,C1538753,C1418610,C1418946,C1418434,C1418560",0.0,0.0,0.0,0.004380691199324417,2736.95,-527.75,0.0,0.005337241586953946,0
474,10,"C2240201,C1538668,C1427065,C1413763,C1825392,C1414899,C1412375,C1413029,C1425035,C1420614",0.0,0.0,0.0,0.009049506246942791,1943.15,-207.10000000000014,0.0,0.009381047943727967,0
475,10,"C1417111,C1420073,C1824426,C1413545,C1333357,C1538647,C1420597,C1413823,C1446659,C1825092",0.0,0.0,0.0,0.00474994579664699,2379.85,-531.8999999999999,0.0,0.004602205971394614,1
476,10,"C1422018,C1420598,C1428568,C1415522,C1413763,C3469826,C1417776,C1418609,C1422770,C1422524",0.0,0.0,0.0,0.011927198921208708,1715.05,-465.64999999999986,0.0,0.009158775600828723,1
477,10,"C1540200,C2239455,C1824975,C1413591,C1413701,C1537583,C1419157,C1428485,C1414544,C1420713",0.0,0.0,0.0,0.005027496341089998,3073.0,-1222.4,0.1,0.01022406094001535,0
478,10,"C1425834,C1416431,C1427030,C1412107,C1415614,C0812271,C1427551,C1422198,C1423858,C1540183",0.0,0.0,0.0,0.004291932369130979,2556.35,-888.75,0.0,0.004330222508212753,0
479,10,"C1539133,C1334469,C1417867,C1417505,C1334339,C1417245,C2240201,C1413064,C1442771,C1538112",0.0,0.0,0.0,0.009322233179986828,2012.0,-703.05,0.0,0.01053184197642679,0
272,10,"C1420606,C1335872,C1422372,C1413218,C1417917,C1825010,C1420076,C1826383,C1366757,C1413569",0.0,0.0,0.0,0.019163694482060047,1652.7,-326.45000000000005,0.0,0.010415828966097624,1
273,10,"C1333358,C2239556,C1413577,C1415504,C1413582,C1427727,C1826383,C1416489,C1418819,C1413725",0.0,0.0,0.0,0.0038014952805877854,2710.05,-860.9000000000001,0.0,0.00465468018402908,0
274,10,"C1423506,C1332010,C1421916,C3471268,C1414499,C1366631,C1418910,C1538512,C1332770,C1412364",0.0,0.0,0.0,0.004569801788658926,2541.4,-469.0,0.0,0.0044122865691333295,1
275,10,"C1414575,C1824739,C1413629,C1413059,C3808960,C1824776,C1540164,C1413592,C1332774,C1418943",0.0,0.0,0.0,0.0036962786389825365,2735.4,-467.9500000000003,0.0,0.004183516408102024,0
276,10,"C1823338,C2829592,C1825324,C1426860,C1418575,C1425254,C1428790,C2240338,C1414128,C1413403",0.1,22.755000000000003,0.06943122193677727,0.05719868341530108,1212.95,35.200000000000045,0.1,0.038036232351901886,1
277,10,"C2239292,C1418479,C1366499,C1419903,C1823469,C1413543,C1417498,C1826955,C1416902,C1413280",0.0,0.0,0.0,0.009069101189060052,1792.8,183.20000000000005,0.1,0.014506582444986657,0
278,10,"C1419774,C1412582,C1537413,C1425212,C1421972,C1413279,C1539331,C1334895,C2240273,C1425292",0.0,0.0,0.0,0.030363486605499496,1160.15,49.25,0.1,0.04054427215595522,0
279,10,"C1825557,C1414946,C1424797,C1826415,C1412192,C1539335,C1336645,C1427622,C1540023,C1420745",0.0,0.0,0.0,0.013341232858304145,1606.85,-317.75,0.2,0.08034579921406909,0
400,10,"C1826500,C1420472,C1417671,C1442758,C1424345,C1428821,C1417250,C1414260,C1415460,C1424667",0.0,0.0,0.0,0.005992152209942675,2257.5,-647.4000000000001,0.0,0.007293093574583197,0
401,10,"C1420472,C1537395,C0879392,C1826614,C1420259,C1427250,C1540115,C1539765,C3887717,C1420614",0.0,0.0,0.0,0.0048173953104101485,2266.25,-826.5,0.0,0.004478989397938305,1
402,10,"C1425978,C1423684,C1422626,C1425067,C1421173,C1826842,C1426379,C1415001,C1426741,C1823469",0.0,0.0,0.0,0.003957377853759159,2651.2,-711.8999999999999,0.0,0.004236425406319666,0
403,10,"C1427851,C1416886,C1414172,C1426706,C1538624,C2240201,C1420597,C1335225,C1419181,C1412744",0.0,0.0,0.0,0.012629443667641498,1656.9,51.69999999999982,0.0,0.012008146339137495,1
404,10,"C1420009,C1413603,C1422805,C1414382,C2681489,C1412933,C1412111,C1419926,C1427995,C1420005",0.0,0.0,0.0,0.005777357258615582,2195.85,-526.5999999999999,0.0,0.00704947380722621,0
405,10,"C1414172,C1539856,C1824975,C1428855,C1832467,C1423837,C0919481,C3469826,C1420076,C1364081",0.0,0.0,0.0,0.005218198483204263,2617.5,-1288.0,0.0,0.004843366226598299,1
406,10,"C1853225,C1419622,C1826637,C1420146,C1836181,C1413490,C1421350,C1422210,C1442757,C1412981",0.1,22.755000000000003,0.06362078819895171,0.017901610134282583,1413.5,49.15000000000009,0.1,0.012863006388757805,1
407,10,"C2239867,C1416445,C1428967,C1412401,C1420472,C1427704,C1539428,C1428025,C1416484,C1415014",0.0,0.0,0.0,0.00341669066130879,2921.8,-1283.65,0.0,0.004216201752732831,0
160,10,"C1334081,C1417576,C1418479,C1412291,C1412111,C1415558,C1824200,C1420694,C1416799,C1414645",0.0,0.0,0.0,0.0034031171483498144,2954.1,-1114.6999999999998,0.0,0.004209375381234451,0
161,10,"C1427734,C1414199,C1420521,C1420620,C1539879,C1423632,C1413076,C1425653,C1823826,C1413200",0.0,0.0,0.0,0.010682926620423827,1634.05,-16.700000000000045,0.0,0.00506656748038512,1
162,10,"C1333568,C2239313,C1416484,C1824669,C1420191,C1422626,C1412494,C1412387,C1418609,C1416799",0.0,0.0,0.0,0.003273605428910523,3068.7,-967.7999999999997,0.0,0.004100222124644293,0
163,10,"C1414962,C1425049,C1425753,C2240302,C1419328,C1415558,C1427727,C2240169,C1420009,C1427551",0.0,0.0,0.0,0.007754714648876103,2058.1,-753.8,0.0,0.005211501876066263,1
164,10,"C1413113,C1414950,C1413943,C1416448,C1412208,C1822764,C1539798,C1422085,C1413629,C1414085",0.0,0.0,0.0,0.003753224744580773,2800.35,-1535.1,0.0,0.004167656710397917,0
165,10,"C1427412,C1415614,C1424608,C1826518,C1422514,C1333523,C1427860,C1412760,C1418800,C1427590",0.0,0.0,0.0,0.0039551623110843995,2603.45,-1166.1499999999999,0.0,0.004311851171711771,0
166,10,"C1442485,C1412077,C1418196,C1421173,C1428459,C1420871,C1413413,C1415327,C1825593,C1426562",0.0,0.0,0.0,0.007078310630481631,2188.3,-297.7000000000003,0.0,0.005488846882395581,1
167,10,"C1537447,C1420688,C2829592,C1428618,C1425225,C1421361,C1422085,C1428781,C1416379,C1419337",0.0,0.0,0.0,0.004770299878344199,2474.15,-777.75,0.0,0.005234546940209976,0
768,20,"C1417768,C1415364,C1412770,C1366496,C1824106,C1414504,C1325331,C2242767,C1824339,C1419745,C1420745,C1419926,C1416610,C1823338,C1826967,C1427030,C1414209,C1417227,C1426667,C1539341",0.0,0.0,0.0,0.010432862907249435,1807.0,-402.3499999999999,0.0,0.0102623121761349,1
769,20,"C1420149,C1538668,C1412364,C1422195,C1424447,C1421866,C1826608,C1414946,C1414329,C1414645,C1428492,C1415845,C1366515,C1418479,C1416540,C1823837,C1537413,C1412107,C1413590,C1414199",0.0,0.0,0.0,0.0064609781267360306,2104.15,-725.3500000000001,0.0,0.006144825696560882,1
770,20,"C1417523,C1418946,C1428797,C1415352,C1822791,C1421361,C1419264,C1417508,C1427622,C1823843,C1419778,C1413581,C1426706,C1418613,C1825380,C1823643,C1414063,C1823652,C0376571,C1415994",0.0,0.0,0.0,0.005548230664367042,2184.95,-585.2999999999997,0.0,0.006303634088212854,0
