rank	pathway_name	pathway_id	source	n_members	degree_norm	null_calibrated	null_z	empirical_q	member_mean_null_z	member_mean_q	in_reference	seed_members	seed_member_scores	influential_nodes_local	influential_nodes_global	neighbor_z_local	neighbor_z_global
1	Ionophore activity	C1517596	GO	186	4.691683e-06	True	24.139	0.0121	3.770	0.0563	False	GJB4;CNGA3;RYR1;PKD1L1;SCN5A;FXN;SLC44A4;KCNQ1;TRPM6;TRPV4;CHRNE;CLCN1;SCN9A;ATP7B;SLC8A1;TCIRG1;ORAI1;SLC37A4;SLC5A2;SLCO1B3;CACNA1G;GRIN2B;GRIN2D;SLC1A4;ANO3;WNK1;WNK2;ABCB11;ATP1A3;CLCN7;SLC9A6;CTNS;CLIC4;PIEZO1;OCA2;SLC34A2;SLC7A8;SLC7A9;BSND;SLC39A4;TRPM3;TRPM4;SLC6A19;BEST1;SLCO1B1;TUSC3;CFTR	1.0000;0.9992;0.9989;0.9988;0.9987;0.9987;0.9986;0.9985;0.9985;0.9985;0.9984;0.9984;0.9984;0.9983;0.9983;0.9982;0.9982;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9980;0.9980;0.9980;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9978;0.9978;0.9976		GJB4;CNGA3;RYR1;PKD1L1;SCN5A;FXN;SLC44A4;KCNQ1;TRPM6;TRPV4;CHRNE;CLCN1;SCN9A;ATP7B;SLC8A1;TCIRG1;ORAI1;SLC37A4;SLC5A2;SLCO1B3;CACNA1G;GRIN2B;GRIN2D;SLC1A4;ANO3;WNK1;WNK2;ABCB11;ATP1A3;CLCN7;SLC9A6;CTNS;CLIC4;PIEZO1;OCA2;SLC34A2;SLC7A8;SLC7A9;BSND;SLC39A4;TRPM3;TRPM4;SLC6A19;BEST1;SLCO1B1;TUSC3;CFTR	local:n=200;max=1.86;p75=-0.54;p50=-0.54;p25=-0.54	global:n=200;max=4.57;p75=-0.21;p50=-0.21;p25=-0.22
2	Transmembrane Transport	C1519624	GO	197	4.367070e-06	True	21.140	0.0121	3.454	0.0563	False	GJB4;CNGA3;RYR1;PKD1L1;SCN5A;ABCB4;FXN;SLC44A4;ABCC6;KCNQ1;TRPM6;TRPV4;CHRNE;CLCN1;SCN9A;ABCA7;ATP7B;SLC8A1;TCIRG1;ABCB6;ORAI1;SLC37A4;SLC5A2;SLCO1B3;CACNA1G;GRIN2B;GRIN2D;SLC1A4;ANO3;CLCN7;SLC9A6;CTNS;CLIC4;PIEZO1;LMBRD1;OCA2;SLC34A2;SLC7A8;SLC7A9;BSND;SLC39A4;TRPM3;TRPM4;SLC6A19;BEST1;SLC6A8;SLC25A13;SLC29A1	1.0000;0.9992;0.9989;0.9988;0.9987;0.9987;0.9987;0.9986;0.9986;0.9985;0.9985;0.9985;0.9984;0.9984;0.9984;0.9984;0.9983;0.9983;0.9982;0.9982;0.9982;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9980;0.9980;0.9980;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9978;0.9977;0.9975		GJB4;CNGA3;RYR1;PKD1L1;SCN5A;ABCB4;FXN;SLC44A4;ABCC6;KCNQ1;TRPM6;TRPV4;CHRNE;CLCN1;SCN9A;ABCA7;ATP7B;SLC8A1;TCIRG1;ABCB6;ORAI1;SLC37A4;SLC5A2;SLCO1B3;CACNA1G;GRIN2B;GRIN2D;SLC1A4;ANO3;CLCN7;SLC9A6;CTNS;CLIC4;PIEZO1;LMBRD1;OCA2;SLC34A2;SLC7A8;SLC7A9;BSND;SLC39A4;TRPM3;TRPM4;SLC6A19;BEST1;SLC6A8;SLC25A13;SLC29A1	local:n=200;max=1.91;p75=-0.52;p50=-0.53;p25=-0.53	global:n=200;max=4.57;p75=-0.21;p50=-0.21;p25=-0.22
3	WP_CILIOPATHIES	MSIGDB:M39880	MSIGDB	169	4.240607e-06	True	18.948	0.0121	2.433	0.0997	True	CEP290;CEP164;BBS4;PKD1L1;EFHC1;AHI1;DNAI1;EVC;EVC2;GLI2;NPHP3;CC2D2A;NPHP1;KIF7;IQCB1;RAB23;SCLT1;ALMS1;PKHD1;TMEM237;NEK1;ZMYND10;TMEM138;BBS9;TCTN1;ADCY6;CNGB1;RPGRIP1;KIZ;DNAI2;NPHP4;HYDIN;KIAA0586;RSPH3;RSPH4A;TOPORS;ODAD2;DYNC2I2;WDR35;LCA5;POC1B;PIBF1;DDX59;TTC21B;TMEM67;TMEM107;XPNPEP3;DRC1;ARL13B;DNAAF3;CEP120;CEP78;CSPP1;DYNC2H1;HYLS1;IFT52;IFT81;IFT140;IFT172;KATNIP;BBS10;B9D1;PCARE;FAM161A	1.0000;0.9996;0.9996;0.9988;0.9987;0.9986;0.9982;0.9982;0.9982;0.9982;0.9982;0.9981;0.9981;0.9981;0.9980;0.9979;0.9978;0.9977;0.9976;0.9976;0.9976;0.9975;0.9973;0.9973;0.9973;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972;0.9972		CEP290;CEP164;BBS4;PKD1L1;EFHC1;AHI1;DNAI1;EVC;EVC2;GLI2;NPHP3;CC2D2A;NPHP1;KIF7;IQCB1;RAB23;SCLT1;ALMS1;PKHD1;TMEM237;NEK1;ZMYND10;TMEM138;BBS9;TCTN1;ADCY6;CNGB1;RPGRIP1;KIZ;DNAI2;NPHP4;HYDIN;KIAA0586;RSPH3;RSPH4A;TOPORS;ODAD2;DYNC2I2;WDR35;LCA5;POC1B;PIBF1;DDX59;TTC21B;TMEM67;TMEM107;XPNPEP3;DRC1;ARL13B;DNAAF3;CEP120;CEP78;CSPP1;DYNC2H1;HYLS1;IFT52;IFT81;IFT140;IFT172;KATNIP;BBS10;B9D1;PCARE;FAM161A	local:n=169;max=1.29;p75=1.28;p50=-0.78;p25=-0.78	global:n=169;max=4.57;p75=4.55;p50=-0.22;p25=-0.22
4	Regulation of Cell Shape	C1156249	GO	161	3.636787e-06	True	16.301	0.0121	1.808	0.4356	False	DVL1;CEP164;ACTA1;KRT12;FN1;EFHC1;EMD;DYNC1H1;NEB;TNNT2;SCRIB;MACF1;DNAI1;KRT16;KRT9;KRT81;DNAH5;DNAH9;TUBG1;ANLN;MYBPC3;MYH2;CEP57;KRT18;KRT10;KRT14;ZMYM3;SYNE2;ROBO3;LMNB1;KRT13;MARCKS;NEFH;SPTA1;PLXNA1;SYNE1;FRYL;PALS1;CLIP1	1.0000;0.9997;0.9988;0.9988;0.9988;0.9988;0.9988;0.9987;0.9986;0.9985;0.9984;0.9984;0.9983;0.9983;0.9983;0.9983;0.9982;0.9982;0.9981;0.9981;0.9980;0.9980;0.9980;0.9980;0.9979;0.9979;0.9979;0.9979;0.9978;0.9978;0.9978;0.9978;0.9978;0.9978;0.9977;0.9975;0.9975;0.9972;0.9972		DVL1;CEP164;ACTA1;KRT12;FN1;EFHC1;EMD;DYNC1H1;NEB;TNNT2;SCRIB;MACF1;DNAI1;KRT16;KRT9;KRT81;DNAH5;DNAH9;TUBG1;ANLN;MYBPC3;MYH2;CEP57;KRT18;KRT10;KRT14;ZMYM3;SYNE2;ROBO3;LMNB1;KRT13;MARCKS;NEFH;SPTA1;PLXNA1;SYNE1;FRYL;PALS1;CLIP1	local:n=187;max=1.95;p75=-0.51;p50=-0.51;p25=-0.51	global:n=187;max=4.57;p75=-0.21;p50=-0.22;p25=-0.22
5	DNA Repair	C0012899	GO	158	3.557523e-06	True	14.695	0.0121	2.434	0.1725	False	TP53;ATM;ERCC6;FAN1;FANCD2;ERCC8;RAD50;RAD54B;RAD51D;MRE11;POLK;DDX11;UVSSA;ERCC2;UNG;TP53BP1;ERCC5;ERCC3;RAD51C;INO80;RAD54L;RBBP8;POLG;PMS2;MSH3;MSH6;TYMS;MSH2;MLH1;EXO1;APTX;ATR;BARD1;BRIP1;BRCA2;HUWE1;PAXIP1;FANCA;FANCE;ERCC4;MUTYH;FANCG;FANCM;CRY2;MCM8	1.0000;0.9978;0.9977;0.9960;0.9959;0.9957;0.9955;0.9954;0.9952;0.9952;0.9949;0.9949;0.9946;0.9946;0.9945;0.9945;0.9945;0.9945;0.9945;0.9944;0.9944;0.9942;0.9942;0.9942;0.9942;0.9942;0.9941;0.9941;0.9941;0.9941;0.9941;0.9941;0.9940;0.9940;0.9940;0.9939;0.9939;0.9939;0.9939;0.9939;0.9939;0.9938;0.9937;0.9936;0.9933		TP53;ATM;ERCC6;FAN1;FANCD2;ERCC8;RAD50;RAD54B;RAD51D;MRE11;POLK;DDX11;UVSSA;ERCC2;UNG;TP53BP1;ERCC5;ERCC3;RAD51C;INO80;RAD54L;RBBP8;POLG;PMS2;MSH3;MSH6;TYMS;MSH2;MLH1;EXO1;APTX;ATR;BARD1;BRIP1;BRCA2;HUWE1;PAXIP1;FANCA;FANCE;ERCC4;MUTYH;FANCG;FANCM;CRY2;MCM8	local:n=182;max=1.76;p75=-0.56;p50=-0.57;p25=-0.57	global:n=182;max=4.58;p75=-0.19;p50=-0.22;p25=-0.22
6	REACTOME_DISEASES_OF_METABOLISM	MSIGDB:M27554	MSIGDB	242	3.256396e-06	True	13.156	0.0121	3.969	0.0563	False	CYP1B1;VCAN;ABCA3;HSPG2;SLC37A4;ADAMTS13;FMO3;GLB1;CYP21A2;PC;LMBRD1;SLC34A2;AHCY;CYP27B1;SI;GALK1;MTRR;CYP17A1;CYP24A1;CYP27A1;DPM1;NEU1;HEXA;SFTPA2;SFTPB;IDH1;IDUA;GALT;MAT1A;MMAB;PMM2;ACACA;ALG12;ADAMTS2;GSS;BTD;GFPT1;GALNS;MCCC1;ACY1;ADAMTS3;B3GAT3;G6PC1;GAA;GBE1;GYS1;GYS2;LCT;MAN1B1;MC2R;MCCC2;MGAT2;MMUT;NAGLU;PCCA;PGM1;SGSH;SLC26A2;TALDO1;TBXAS1;TCN2;ADAMTS18;ADAMTS19;RFT1;ADAMTSL4	1.0000;0.9989;0.9988;0.9985;0.9985;0.9985;0.9984;0.9983;0.9983;0.9982;0.9982;0.9982;0.9982;0.9982;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9981;0.9980;0.9980;0.9980;0.9980;0.9979;0.9979;0.9979;0.9979;0.9979;0.9979;0.9978;0.9978;0.9978;0.9978;0.9977;0.9977;0.9976;0.9975;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974;0.9974		CYP1B1;VCAN;ABCA3;HSPG2;SLC37A4;ADAMTS13;FMO3;GLB1;CYP21A2;PC;LMBRD1;SLC34A2;AHCY;CYP27B1;SI;GALK1;MTRR;CYP17A1;CYP24A1;CYP27A1;DPM1;NEU1;HEXA;SFTPA2;SFTPB;IDH1;IDUA;GALT;MAT1A;MMAB;PMM2;ACACA;ALG12;ADAMTS2;GSS;BTD;GFPT1;GALNS;MCCC1;ACY1;ADAMTS3;B3GAT3;G6PC1;GAA;GBE1;GYS1;GYS2;LCT;MAN1B1;MC2R;MCCC2;MGAT2;MMUT;NAGLU;PCCA;PGM1;SGSH;SLC26A2;TALDO1;TBXAS1;TCN2;ADAMTS18;ADAMTS19;RFT1;ADAMTSL4	local:n=200;max=1.66;p75=1.65;p50=-0.61;p25=-0.61	global:n=200;max=4.56;p75=4.55;p50=-0.22;p25=-0.22
7	Blood coagulation	C0005778	GO	31	3.250208e-06	True	18.655	0.0121	1.403	0.5063	False	KLKB1;F11;F7;PROC;F8;ADAMTS13;VWF;SERPINC1;PRKAR1A;VKORC1	1.0000;0.9993;0.9992;0.9992;0.9989;0.9988;0.9988;0.9986;0.9985;0.9985		KLKB1;F11;F7;PROC;F8;ADAMTS13;VWF;SERPINC1;PRKAR1A;VKORC1	local:n=37;max=1.65;p75=1.64;p50=-0.61;p25=-0.61	global:n=37;max=4.56;p75=4.56;p50=-0.21;p25=-0.22
8	Skeletal Development	C1160401	GO	52	2.862661e-06	True	19.146	0.0121	-1.173	1.0000	False	BMP1;EVC;EVC2;BMP6;PAX1;PPIB;CCN6	1.0000;0.9998;0.9998;0.9997;0.9996;0.9994;0.9987	BMP1;EVC;EVC2;BMP6;PAX1;PPIB;CCN6	BMP1;EVC;EVC2;BMP6;PAX1;PPIB;CCN6	local:n=54;max=2.59;p75=-0.38;p50=-0.39;p25=-0.39	global:n=54;max=4.56;p75=-0.21;p50=-0.22;p25=-0.22
9	Myogenesis	C0596997	GO	37	2.829276e-06	True	14.072	0.0121	2.552	0.0563	False	RYR1;ACTA1;EMD;NEB;TNNT2;DMPK;EVC;EVC2;NCOA2;MYOCD;SPEG;ZFHX3;CAV3;KLHL40	1.0000;0.9998;0.9998;0.9996;0.9995;0.9994;0.9993;0.9993;0.9992;0.9991;0.9991;0.9990;0.9989;0.9988		RYR1;ACTA1;EMD;NEB;TNNT2;DMPK;EVC;EVC2;NCOA2;MYOCD;SPEG;ZFHX3;CAV3;KLHL40	local:n=45;max=1.49;p75=1.49;p50=-0.67;p25=-0.67	global:n=45;max=4.56;p75=4.56;p50=-0.21;p25=-0.22
10	WP_AMINO_ACID_METABOLISM	MSIGDB:M39570	MSIGDB	86	2.706027e-06	True	10.934	0.0121	4.389	0.0563	False	DDC;CPS1;TH;PC;FTCD;IDH1;CAD;TDO2;TPO;ASNS;CTH;FH;ACADM;GSS;AUH;DLST;FARSB;FAH;MCCC1;ACO2;ALDH7A1;DLD;EHHADH;GLUL;HMGCS2;HNMT;MDH1;MMUT;OGDH;PCK1;PKM;PYCR1;SDHA;SUCLG1;TAT;LARS2;ALDH18A1	1.0000;1.0000;0.9999;0.9999;0.9996;0.9996;0.9996;0.9995;0.9995;0.9995;0.9995;0.9995;0.9995;0.9994;0.9994;0.9993;0.9993;0.9992;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991;0.9991		DDC;CPS1;TH;PC;FTCD;IDH1;CAD;TDO2;TPO;ASNS;CTH;FH;ACADM;GSS;AUH;DLST;FARSB;FAH;MCCC1;ACO2;ALDH7A1;DLD;EHHADH;GLUL;HMGCS2;HNMT;MDH1;MMUT;OGDH;PCK1;PKM;PYCR1;SDHA;SUCLG1;TAT;LARS2;ALDH18A1	local:n=86;max=1.15;p75=1.15;p50=-0.87;p25=-0.87	global:n=86;max=4.56;p75=4.55;p50=-0.22;p25=-0.22
